word,part_of_speech,meaning,example,meaning_original,original_meaning
abá¹,n.,most highly-valued fish,,most highly-valued fish (Gymnarchus niloticus Cuvier GYMNARCHIDAE); abá ịfịyọụn juvenile Gymnarchus,most highly-valued fish
abá¹,n.,abá ịfịyọụn juvenile Gymnarchus,,most highly-valued fish (Gymnarchus niloticus Cuvier GYMNARCHIDAE); abá ịfịyọụn juvenile Gymnarchus,abá ịfịyọụn juvenile Gymnarchus
abaá,n.,heron,,heron (Ardea spp.); bou abá Purple Heron (Ardea purpurea); dirima abá Black-headed Heron (Ardea melanocephala); píṇ a àba Grey Heron (Ardea cinerea) (all ARDEIDAE),heron
abaá,n.,Purple Heron,,heron (Ardea spp.); bou abá Purple Heron (Ardea purpurea); dirima abá Black-headed Heron (Ardea melanocephala); píṇ a àba Grey Heron (Ardea cinerea) (all ARDEIDAE),Purple Heron
abaá,n.,Black-headed Heron,,heron (Ardea spp.); bou abá Purple Heron (Ardea purpurea); dirima abá Black-headed Heron (Ardea melanocephala); píṇ a àba Grey Heron (Ardea cinerea) (all ARDEIDAE),Black-headed Heron
abaá,n.,Grey Heron,,heron (Ardea spp.); bou abá Purple Heron (Ardea purpurea); dirima abá Black-headed Heron (Ardea melanocephala); píṇ a àba Grey Heron (Ardea cinerea) (all ARDEIDAE),Grey Heron
abábùrú,n.,cassava,abábùrú ùngbou cassava stem [Abá² + bùrú Ọba’s yam],cassava (Manihot esculenta Crantz EUPHORBIACEAE),cassava
ababụ́,n.,place where bark of tree encroaches on what should be solid wood,,place where bark of tree encroaches on what should be solid wood; (fig.) bára àbabụ tụa exaggerate,place where bark of tree encroaches on what should be solid wood
abadị-aká,n.,sea-coast,,sea-coast,sea-coast
abadị-arụ́,n.,ocean liner,,ocean liner; sea-going vessel,ocean liner
abadị-arụ́,n.,sea-going vessel,,ocean liner; sea-going vessel,sea-going vessel
abadịbení,n.,seawater,,seawater,seawater
abadịdọọ́n,n.,seasickness,,seasickness,seasickness
Abadị-eré,n.,female personal name,,female personal name [‘sea- woman’],female personal name
abadị-ẹfẹ́rụ̀,n.,sea breeze,,sea breeze,sea breeze
abadị-indí,n.,sea fish,,sea fish,sea fish
abadị-okólàị,n.,"bird, the curlew",,"bird, the curlew (Numenius arquata CHARADRIIDAE)","bird, the curlew"
abadị-okólàị,n.,"seabird, probably a tern",,"seabird, probably a tern (Sterna spp. STERNIDAE) [???]","seabird, probably a tern"
abálà,n.,"sapwood, i.e. soft wood newly formed under the bark",,"sapwood, i.e. soft wood newly formed under the bark","sapwood, i.e. soft wood newly formed under the bark"
abáneri,n.,"bonga-fish or bonga shad, from brackish-water areas, sold on racks",,"bonga-fish or bonga shad, from brackish-water areas, sold on racks (Ethmalosa fimbriata Bowdich CLUPEIDAE) (=ofoló =kígbo²)","bonga-fish or bonga shad, from brackish-water areas, sold on racks"
