word,meaning
abá¹,most highly-valued fish
abá¹,abá ịfịyọụn juvenile Gymnarchus
abaá,heron
abaá,Purple Heron
abaá,Black-headed Heron
abaá,Grey Heron
abábùrú,cassava
ababụ́,place where bark of tree encroaches on what should be solid wood
abadị-aká,sea-coast
abadị-arụ́,ocean liner
abadị-arụ́,sea-going vessel
abadịbení,seawater
abadịdọọ́n,seasickness
Abadị-eré,female personal name
abadị-ẹfẹ́rụ̀,sea breeze
abadị-indí,sea fish
abadị-okólàị,"bird, the curlew"
abadị-okólàị,"seabird, probably a tern"
abálà,"sapwood, i.e. soft wood newly formed under the bark"
abáneri,"bonga-fish or bonga shad, from brackish-water areas, sold on racks"
abélebei,"the leaves of the plant whose stem is called uté, used for wrapping food"
aberéi,basket to contain fish freshly caught in a lake
aboróu¹,light membrane covering eye or sore
aboróu²,cobweb along a bush path
Abọ́¹,"Aboh, a town on the Niger south of Onitsha and north of Umuoru"
abọ́²,an oblong basket made of cane-rope with a wooden base
ábọ̀,thumb-piano
abọọ́,scabbard
abọọ́,sheath
abulúkù,kilt worn by men for wrestling and processions
adaá¹,paint
adagbafẹrẹ́,big heavy breakable dish from which several people could eat
adákà,"fierce, strong animal like lion"
adakádà,nonsense
adamú,convulsion
adié,inland swamp
adié,water collected from the marshlands in the dry season for religious purposes
adié,colony
adié,"place rich in fish, prawns, etc"
adíebèlebe,crisis
adíebèlebe,upheaval
adíebèlebe,uproar
adíebèlebe,great confusion
adịká¹,a dance from ụkwụanị in Delta State that flourished in the 1940s
adoó,basket without flat base
afánfan,corkwood
afánfan,umbrella tree
agáda,"dane-gun, shorter than asángba"
Agáda,nickname for Ekpétiama ibe
agadagbá,"large clupeid, a larger fish than isóun"
Agadagbábòu,important historical site from where most Kolokuma towns migrated to their present settlements
agalá,javelin
agáụ̀,smaller axe used in hollowing out wooden mortars and plates
agbaá¹,trigger
agbaá²,protective “medicine” for war
agbaá³,funnel-entrance fish-trap
agbábụgbabụ̀teereé,bird sp the Piping Hornbill
agbadá,large shrimp
agbadá,“lobster”
agbadá,agbada ịsọ́ụ young “lobster”
agbadá,owéi àgbadá male “lobster”
agbádà¹,rib
agbaị-áràụ,girl-friend
agbaị-áràụ,lover
agbaị-ówèi,boy-friend
agbaịtọ́bọ̀ụ,child born outside wedlock
agbaịde,fourth-generation slave
agbaká,shoe
beni-wẹnị-ágbàka,rainboot
tíṇ -agbaka,wooden shoe
agbaká,clog
agbaká,sabot
agbalálà¹,herb used as ear medicine
agbalálà²,"sticky resin from the ọkọlọ́lọ̀ tree,"
agbárabou,"burial-ground for anyone whose life is suddenly cut short, through suicide, accident, or any outside agency , but not through sickness"
agbárakà,oracle
agbárakà,the act of consulting it
Agbobiri,the headquarters of Ọkọ́dịa ibe in Northern Nzọn
agbobú,chest
agbobú,bosom
agbobú,courage
agbobú kụ̀rọ́,agbobú kụ̀rọ́ be courageous
agbobudirí,Dutchman’s pipe
agbobutítì,influenza
agóyà,processional dance type
agué,bay
agúì,crocodile
agúì,"praise-name or title for someone who is strong , túgu)"
aguún,purple
aká¹,tooth
aká dei,lose milk-teeth
aká fị,grind teeth
aká ovuru,space between two front teeth
aká tuu dọ̀ọ́n/serí,have toothache
aká²,edge
aká²,side
akaán³,a hero
akáan,"bird, the Yellow-casqued Hornbill"
akáịn,“thatch”
Akanranbiri,town in Opokumá ìbe of Northern Nzọn
akara,fried bean-cake
akáraka,horse grass
akaramú,glutton
akaramú,gourmand
akásịị,edible fungus
akásịị,sclerotium of Lentinus tuber-regium
akásọkịye,toothpick
akásọ̀ụsọụ,yam cultivar
akáta,"fish, the sailfin or bichir , one of the strongest fish"
akáyènghibáụ,praying mantis
akií,tree which provides good firewood
akó,edgeways
akolóu,slipknot
akoó,a fish e
akóto¹,snuff-box
akóto²,game played with many tops
akpaá,bag
akpaá,sack
akpaá,pocket
akpaá,belly
opu akpá,stomach of animals
akpaịnkóro,nickname for edible snail
akpákpa¹,"wall ,"
akpákpa¹,"hence, page"
akpákpa¹,strength
akpálakpa,plank
akpangbú,improvised play-gun prepared with the stem of the Indian bamboo
akpárakparà,large stiff mat woven with the pith of the bamboo palm
akpórogù,long dug-out trough used for mashing palm fruits
akpotú,trouble
akpúkè²,kind of yellow water-yam
akpụ́rụ̀,bag
akpụ́rụ̀,sack
akúsì,"power of staying alone and receiving sustenance by reason of old age, primarily of an old python , which is believed to remain in one place with its mouth open ready to snap closed on anything that enters"
akuú,girth
akuú,width
akụ́²,"tree with strong wood, often used for canoes"
akụ́²,“oak-tree”
akụ́là,leech
Akụmọnị,town in Ọkọ́dịa ibe of Northern Nzọn
akụnakụ́nà,harlot
akụnakụ́nà,whore
akụnakụ́nà,prostitute
akụnakụ́nà,tart
akụ́ratà,"shrub known for its bitterness, used as chewing-stick"
alabúmà,silt
Aláere,female personal name
alagbalaá,paint
alagbalaá,gum
Aláowei,female personal name
alápa,jellyfish
alegí,"crafty, cunning, artful, wily person"
alụkpụ́kpà,"red earth or laterite, used for renovating mud walls"
Alúku,the title for Kólokùmá ìbe
amá,town
amá,village
amá,settlement
amá fị,live as harlot
amá,indulge in prostitution
amá kpụn,perform a ritual in which a red-feathered fowl is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins
ámà¹,"medicine or charm believed to have magnetic force to direct one to one’s destination, or to detect poison or find lost property"
amádaa-owei,chief of a town recognized by Government
amádii-owei,sanitary inspector
Amadọ́sụ̀,chief male deity of Ekpétiama ibe
amá-ì-nimi-kụ́mọ,grub which inhabits young live wine-palms
amá-ì-nimi-kụ́mọ,"somone who does things secretly, claiming not to be known"
amákiri,"ground, soil, land of the town"
amákọtọkọ,clay for moulding
amámịẹmịẹye,customs and accepted institutions of a town
amánanaaraụ,"female head of village, responsible for women’s affairs in the town"
amá-ogbo,land of the town
amá-ogbokịmị,an indigene of a town
amarán¹,paddle ̣
amarán²,trace
amásẹẹ̀diri,herb used for curing headaches
Amasómà,headquarters of Ogboin ibe in Southern Nzọn
amátẹmẹsuo,"collective spirit of a town, expressed in its formal praise-title"
Amátòló,town in Ogboin ibe of Southern Nzọn
amátọrụ,rainclouds
angbaá¹,cheek
angbaá²,barrel
angbalókù,mumps
aminikaá,"antelope species, probably the Yellow-backed Duiker , now almost extinct in the area"
amú,dizziness
amú,giddiness
amudé,"bird, the African Green Pigeon"
angá²,side
angá²,place
angá²,spot
angá²,plane
angá²,face
angaá,egg
angaá,roe
angaá,berry
angábọlọụ,name given to the internal part of the body behind the ribs
angála¹,charcoal
angásaraị,side of ribs
apálà,slap
apapátùo,herb
apatímà,simpleton
apíe-ẹngẹlẹị,the remains after preparing the cane-rope for use
apíe-furou,pith removed from apíe cane- rope
apolóu,shoulder
apóo,scoop for bailing canoe
árigidi,Kano cloth
árigidi,"handwoven cloth from the North, used as “cover-cloth” or worn over shoulder"
árụ,canoe
árụ,boat
árụ,vehicle
árụ zuu,unload canoe
bálà-arụ,sailing boat
árụ,canoe with sail
beké-àrụ,"European boat, ship"
dụ́wẹị-arụ,canoe carrying corpse
fin-arụ́,aeroplane
Igbon- arụ/Ikétè-arụ,Northern canoe with rounded woven roof
ofóni-arụ,canoe with thatch or zinc roof on top
árụ,óru-arụ sacrificial canoe with music and dancing
ọkọ-arụ́,canoe used for hiring out
ọmụ́ụ- arụ,war-canoe
sẹ́ị-arụ,dance-canoe
tára- ukou àrụ,three-seat canoe
tọ́rụ-yọụ-arụ,canoe used for trading
árụ-aka,edge of canoe
árụbiri,middle of canoe
árụgbọlụ,"bird, any woodpecker"
árụ-ịgba,rope for mooring canoe
árụ ịgba kaka,tie rope to mooring-post
árụ-ịgbaaị,chips from ịgbụmú
árụkiri,floor of canoe
árụtoun,bottom of canoe which touches water
árụ-ukou,canoe seat
árụ-ukure,stern of canoe
árụ-zuu-uru,drink offered by traveller on his return to those who help him unload
asaá,"side of the river which comes down steeply, subject to erosion, opposite to the sandbank side"
Asába-bẹịn-uge,Feast of Passover
